participant_id,age,musical_background,sample_id,model,genre,melody_quality,rhythm_quality,overall_enjoyment,genre_accuracy,human_score
P01,22,Intermediate,rlhf_tuned_classical_1,RLHF-Tuned,classical,4,4,4,5,4.25
P01,22,Intermediate,rlhf_tuned_jazz_2,RLHF-Tuned,jazz,4,5,5,4,4.50
P01,22,Intermediate,rlhf_tuned_rock_3,RLHF-Tuned,rock,3,4,4,4,3.75
P01,22,Intermediate,rlhf_tuned_pop_4,RLHF-Tuned,pop,4,4,4,5,4.25
P01,22,Intermediate,rlhf_tuned_electronic_5,RLHF-Tuned,electronic,3,4,3,4,3.50
P01,22,Intermediate,transformer_classical_1,Transformer,classical,3,4,3,4,3.50
P01,22,Intermediate,transformer_jazz_2,Transformer,jazz,3,3,3,3,3.00
P01,22,Intermediate,transformer_rock_3,Transformer,rock,3,3,3,3,3.00
P01,22,Intermediate,transformer_pop_4,Transformer,pop,3,3,4,3,3.25
P01,22,Intermediate,transformer_electronic_5,Transformer,electronic,2,3,3,3,2.75
P02,24,Beginner,rlhf_tuned_classical_1,RLHF-Tuned,classical,5,4,5,5,4.75
P02,24,Beginner,rlhf_tuned_jazz_2,RLHF-Tuned,jazz,4,4,4,4,4.00
P02,24,Beginner,rlhf_tuned_rock_3,RLHF-Tuned,rock,4,5,5,4,4.50
P02,24,Beginner,rlhf_tuned_pop_4,RLHF-Tuned,pop,5,4,5,5,4.75
P02,24,Beginner,rlhf_tuned_electronic_5,RLHF-Tuned,electronic,4,3,4,4,3.75
P02,24,Beginner,transformer_classical_1,Transformer,classical,3,3,3,3,3.00
P02,24,Beginner,transformer_jazz_2,Transformer,jazz,2,3,3,3,2.75
P02,24,Beginner,transformer_rock_3,Transformer,rock,3,3,3,3,3.00
P02,24,Beginner,transformer_pop_4,Transformer,pop,3,4,3,4,3.50
P02,24,Beginner,transformer_electronic_5,Transformer,electronic,3,3,3,3,3.00
P03,21,Advanced,rlhf_tuned_classical_1,RLHF-Tuned,classical,4,5,5,5,4.75
P03,21,Advanced,rlhf_tuned_jazz_2,RLHF-Tuned,jazz,5,5,5,5,5.00
P03,21,Advanced,rlhf_tuned_rock_3,RLHF-Tuned,rock,4,4,5,4,4.25
P03,21,Advanced,rlhf_tuned_pop_4,RLHF-Tuned,pop,4,4,4,4,4.00
P03,21,Advanced,rlhf_tuned_electronic_5,RLHF-Tuned,electronic,4,4,4,5,4.25
P03,21,Advanced,transformer_classical_1,Transformer,classical,4,3,4,3,3.50
P03,21,Advanced,transformer_jazz_2,Transformer,jazz,3,3,3,3,3.00
P03,21,Advanced,transformer_rock_3,Transformer,rock,2,3,3,3,2.75
P03,21,Advanced,transformer_pop_4,Transformer,pop,3,3,3,3,3.00
P03,21,Advanced,transformer_electronic_5,Transformer,electronic,3,4,3,4,3.50
P04,23,Beginner,rlhf_tuned_classical_1,RLHF-Tuned,classical,3,4,4,4,3.75
